itemLabel,positionLabel
Élisabeth Borne,Première ministre
Olivier Véran,"Ministre délégué auprès de la Première ministre, chargé du Renouveau démocratique, porte-parole du Gouvernement"
Franck Riester,"Ministre délégué auprès de la Première ministre, chargé des Relations avec le Parlement"
Isabelle Rome,"Ministre déléguée auprès de la Première ministre, chargée de l'Égalité entre les femmes et les hommes, de la Diversité et de l'Égalité des chances"
Charlotte Caubel,"Secrétaire d’Etat auprès de la Première ministre, chargée de l'Enfance"
Hervé Berville,"Secrétaire d'État auprès de la Première ministre, chargé de la Mer"
Marlène Schiappa,"Secrétaire d'État auprès de la Première ministre, chargée de l'Économie sociale et solidaire et de la Vie associative"
Bruno Le Maire,"Ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique"
Gabriel Attal,"Ministre délégué auprès du ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique, chargé des Comptes publics"
Roland Lescure,"Ministre délégué auprès du ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique, chargé de l'Industrie"
Jean-Noël Barrot,"Ministre délégué auprès du ministère de l'Économie, des Finances et de la Souveraineté industrielle et numérique, chargé de la Transition numérique et des Télécommunications"
Olivia Grégoire,"Ministre déléguée auprès du ministre de l'Économie, des Finances et de la Souveraineté industrielle et numérique, chargée des Petites et moyennes entreprises, du Commerce, de l'Artisanat et du Tourisme"
Gérald Darmanin,Ministre de l'Intérieur et des Outre-mer
Caroline Cayeux,Ministre déléguée auprès du ministre de l'Intérieur et des Outre-mer et du ministre de la Transition écologique et de la Cohésion des territoires chargée des Collectivités territoriales
Jean-François Carenco,Ministre délégué auprès du ministre de l'Intérieur et des Outre-mer chargé des Outre-mer
Sonia Backès,"Secrétaire d'État auprès du ministre de l'Intérieur et des Outre-mer, chargée de la Citoyenneté"
Catherine Colonna,Ministre de l'Europe et des Affaires étrangères
Olivier Becht,"Ministre délégué auprès de la ministre de l'Europe et des Affaires étrangères chargé du Commerce extérieur, de l'Attractivité et des Français de l'étranger"
Laurence Boone,"Secrétaire d'État auprès de la ministre de l'Europe et des Affaires étrangères, chargée de l'Europe"
Chrysoula Zacharopoulou,"Secrétaire d'Etat auprès de la ministre de l’Europe et des Affaires étrangères, chargée du Développement, de la Francophonie et des Partenariats internationaux"
Éric Dupond-Moretti,"Garde des Sceaux, ministre de la Justice"
Sébastien Lecornu,Ministre des Armées
Sarah El Haïry,"Secrétaire d'État auprès du ministre des Armées et du ministre de l'Éducation nationale et de la Jeunesse, chargée de la Jeunesse et du Service national universel"
Patricia Mirallès,"Secrétaire d'État auprès du ministre des Armées, chargée des Anciens combattants et de la Mémoire"
Olivier Dussopt,"Ministre du Travail, du Plein emploi et de l'Insertion"
Carole Grandjean,"Ministre déléguée auprès du ministre du Travail, du Plein emploi et de l'Insertion et du ministre de l'Éducation nationale et de la Jeunesse, chargée de l'Enseignement et de la Formation professionnels"
Pap Ndiaye,Ministre de l'Éducation nationale et de la Jeunesse
Sylvie Retailleau,Ministre de l'Enseignement supérieur et de la Recherche
Marc Fesneau,Ministre de l'Agriculture et de la Souveraineté alimentaire
Christophe Béchu,Ministre de la Transition écologique et de la Cohésion des territoires
Clément Beaune,"Ministre délégué auprès du ministre de la Transition écologique et de la Cohésion des territoires, chargé des Transports"
Olivier Klein,"Ministre délégué auprès du ministre de la Transition écologique et de la Cohésion des territoires, chargé de la Ville et du Logement"
Bérangère Couillard,"Secrétaire d'État auprès du ministre de la Transition écologique et de la Cohésion des territoires, chargée de l'Écologie"
Dominique Faure,"Secrétaire d'État auprès du ministre de la Transition écologique et de la Cohésion des territoires, chargée de la Ruralité"
Agnès Pannier-Runacher,Ministre de la Transition énergétique
Rima Abdul-Malak,Ministre de la Culture
François Braun,Ministre de la Santé et de la Prévention
Agnès Firmin Le Bodo,"Ministre déléguée auprès du ministre de la Santé et de la Prévention, chargée de l'Organisation territoriale et des Professions de santé"
Jean-Christophe Combe,"Ministre des Solidarités, de l'Autonomie et des personnes handicapées"
Geneviève Darrieussecq,"Ministre déléguée auprès du ministre des Solidarités, de l'Autonomie et des Personnes handicapées, chargée des Personnes handicapées"
Stanislas Guerini,Ministre de la Transformation et de la Fonction publiques
Amélie Oudéa-Castéra,Ministre des Sports et des Jeux olympiques et paralympiques
